it,ft,bt,transmission,ownerNo,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats_1,Color,Gear Box,Drive Type,City
0,Petrol,Hatchback,Manual,3,Maruti,Maruti Celerio,2015,₹ 4 Lakh,Third Party insurance,"1,20,000 Kms",23.1 kmpl,998 CC,5,White,5 Speed ,FWD,Bangalore
0,Petrol,SUV,Manual,2,Ford,Ford Ecosport,2018,₹ 8.11 Lakh,Comprehensive,"32,706 Kms",17 kmpl,1497 CC,5,White,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2018,₹ 5.85 Lakh,Comprehensive,"11,949 Kms",23.84 kmpl,1199 CC,5,Red,5 Speed,FWD,Bangalore
0,Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2014,₹ 4.62 Lakh,Comprehensive,"17,794 Kms",19.1 kmpl,1197 CC,5,Others,5 Speed ,FWD ,Bangalore
0,Diesel,SUV,Manual,1,Maruti,Maruti SX4 S Cross,2015,₹ 7.90 Lakh,Third Party insurance,"60,000 Kms",23.65 kmpl,1248 CC,5,Gray,5 Speed,FWD,Bangalore
0,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2020,₹ 19 Lakh,Third Party insurance,"20,000 Kms",17.1 kmpl,1956 CC,5,Others,6 Speed,4X2,Bangalore
0,Petrol,Hatchback,Manual,1,Datsun,Datsun GO,2017,₹ 3.45 Lakh,Comprehensive,"37,772 Kms",20.63 kmpl,1198 CC,5,Grey,5 Speed,FWD,Bangalore
0,Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2021,₹ 12 Lakh,Third Party insurance,"30,000 Kms",18.15 kmpl,998 CC,5,Others,7-Speed,FWD,Bangalore
0,Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,2018,₹ 9.60 Lakh,Comprehensive,"37,000 Kms",20.28 kmpl,1462 CC,5,Maroon,4 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2017,₹ 5.85 Lakh,Comprehensive,"11,949 Kms",23.84 kmpl,1199 CC,5,Red,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2018,₹ 6.90 Lakh,Third Party insurance,"50,000 Kms",21.4 kmpl,1197 CC,5,Red,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2019,₹ 6.82 Lakh,Third Party insurance,"24,887 Kms",18.9 kmpl,1197 CC,5,Orange,4 Speed,FWD,Bangalore
0,Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2018,₹ 8.25 Lakh,Comprehensive,"23,000 Kms",18.2 kmpl,1199 CC,5,Grey,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,Automatic,1,Tata,Tata Tiago,2018,₹ 5.95 Lakh,Comprehensive,"48,928 Kms",23.84 kmpl,1199 CC,5,Red,5 Speed,FWD,Bangalore
0,Diesel,SUV,Manual,3,Mahindra,Mahindra XUV500,2014,₹ 6.90 Lakh,Comprehensive,"1,08,862 Kms",15.1 kmpl,2179 CC,7,Silver,6 Speed ,FWD,Bangalore
0,Diesel,SUV,Manual,1,Jeep,Jeep Compass,2018,₹ 13.50 Lakh,Third Party insurance,"80,000 Kms",17.1 kmpl,1956 CC,5,Others,6 Speed,4X2,Bangalore
0,Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,₹ 55.95 Lakh,Comprehensive,"16,000 Kms",,1950 CC,5,Blue,8G-DCT,AWD,Bangalore
0,Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2014,₹ 5.21 Lakh,Comprehensive,"65,376 Kms",21.27 kmpl,1396 CC,5,Blue,6 Speed,FWD,Bangalore
0,Petrol,SUV,Manual,1,Tata,Tata Nexon,2022,₹ 10.05 Lakh,Third Party insurance,"10,000 Kms",17.33 kmpl,1199 CC,5,Others,6 Speed,,Bangalore
0,Petrol,Sedan,Manual,2,Honda,Honda City,2016,₹ 7.75 Lakh,Comprehensive,"67,000 Kms",17.8 kmpl,1497 CC,5,Brown,5 Speed,FWD,Bangalore
0,Diesel,Sedan,Automatic,3,BMW,BMW 5 Series,2011,₹ 22 Lakh,Third Party insurance,"1,00,000 Kms",18.48 kmpl,1995 CC,5,White,6 Speed,,Bangalore
0,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2016,₹ 5.82 Lakh,Comprehensive,"18,083 Kms",22.38 kmpl,1197 CC,5,Silver,5-Speed,,Bangalore
0,Petrol,SUV,Manual,1,Renault,Renault Duster,2020,₹ 10.90 Lakh,Third Party insurance,"30,000 Kms",16.42 kmpl,1498 CC,5,Others,5-Speed,FWD,Bangalore
0,Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2016,₹ 4.57 Lakh,Comprehensive,"57,634 Kms",23.84 kmpl,1199 CC,5,Silver,5 Speed,FWD,Bangalore
0,Petrol,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,₹ 49 Lakh,Third Party insurance,"50,000 Kms",7.81 kmpl,4663 CC,5,Others,7 Speed,RWD,Bangalore
0,Petrol,Sedan,Manual,1,Honda,Honda City,2015,₹ 5.50 Lakh,Third Party insurance,"1,10,000 Kms",17.4 kmpl,1497 CC,5,Others,5 Speed ,FWD,Bangalore
0,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Santro,2018,₹ 5.70 Lakh,Comprehensive,"23,447 Kms",20.3 kmpl,1086 CC,5,Yellow,5 Speed,FWD,Bangalore
0,Lpg,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,2009,₹ 2.20 Lakh,Third Party insurance,"30,000 Kms",13.45 kmpl,1086 CC,5,Others,5 Speed,FWD,Bangalore
0,Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,₹ 41.45 Lakh,Comprehensive,"33,000 Kms",15 kmpl,1991 CC,5,White,9 Speed,RWD,Bangalore
0,Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,₹ 8.61 Lakh,Third Party,"87,667 Kms",15.1 kmpl,2179 CC,7,Black,6 Speed ,FWD,Bangalore
0,Diesel,Sedan,Automatic,2,Audi,Audi A4,2016,₹ 17.85 Lakh,Third Party insurance,"40,000 Kms",17.11 kmpl,1968 CC,5,Others,8 Speed,FWD,Bangalore
