Fuel type,body type,transmission,ownerNo,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Seats,Color,City
Petrol,Hatchback,Manual,3,Maruti,Maruti Celerio,2015,4.0,Third Party insurance,120000,23.1,5,White,Bangalore
Petrol,SUV,Manual,2,Ford,Ford Ecosport,2018,8.11,Comprehensive,32706,17.0,5,White,Bangalore
Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2018,5.85,Comprehensive,11949,23.84,5,Red,Bangalore
Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2014,4.62,Comprehensive,17794,19.1,5,Others,Bangalore
Diesel,SUV,Manual,1,Maruti,Maruti SX4 S Cross,2015,7.9,Third Party insurance,60000,23.65,5,Gray,Bangalore
Diesel,SUV,Manual,1,Jeep,Jeep Compass,2020,19.0,Third Party insurance,20000,17.1,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Datsun,Datsun GO,2017,3.45,Comprehensive,37772,20.63,5,Grey,Bangalore
Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2021,12.0,Third Party insurance,30000,18.15,5,Others,Bangalore
Petrol,Sedan,Automatic,1,Maruti,Maruti Ciaz,2018,9.6,Comprehensive,37000,20.28,5,Maroon,Bangalore
Petrol,Hatchback,Manual,1,Tata,Tata Tiago,2017,5.85,Comprehensive,11949,23.84,5,Red,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2018,6.9,Third Party insurance,50000,21.4,5,Red,Bangalore
Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Grand i10,2019,6.82,Third Party insurance,24887,18.9,5,Orange,Bangalore
Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2018,8.25,Comprehensive,23000,18.2,5,Grey,Bangalore
Petrol,Hatchback,Automatic,1,Tata,Tata Tiago,2018,5.95,Comprehensive,48928,23.84,5,Red,Bangalore
Diesel,SUV,Manual,3,Mahindra,Mahindra XUV500,2014,6.9,Comprehensive,108862,15.1,7,Silver,Bangalore
Diesel,SUV,Manual,1,Jeep,Jeep Compass,2018,13.5,Third Party insurance,80000,17.1,5,Others,Bangalore
Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLA,2022,55.95,Comprehensive,16000,18.976466898954705,5,Blue,Bangalore
Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2014,5.21,Comprehensive,65376,21.27,5,Blue,Bangalore
Petrol,SUV,Manual,1,Tata,Tata Nexon,2022,10.05,Third Party insurance,10000,17.33,5,Others,Bangalore
Petrol,Sedan,Manual,2,Honda,Honda City,2016,7.75,Comprehensive,67000,17.8,5,Brown,Bangalore
Diesel,Sedan,Automatic,3,BMW,BMW 5 Series,2011,22.0,Third Party insurance,100000,18.48,5,White,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2016,5.82,Comprehensive,18083,22.38,5,Silver,Bangalore
Petrol,SUV,Manual,1,Renault,Renault Duster,2020,10.9,Third Party insurance,30000,16.42,5,Others,Bangalore
Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2016,4.57,Comprehensive,57634,23.84,5,Silver,Bangalore
Petrol,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,49.0,Third Party insurance,50000,7.81,5,Others,Bangalore
Petrol,Sedan,Manual,1,Honda,Honda City,2015,5.5,Third Party insurance,110000,17.4,5,Others,Bangalore
Petrol,Hatchback,Automatic,1,Hyundai,Hyundai Santro,2018,5.7,Comprehensive,23447,20.3,5,Yellow,Bangalore
Lpg,Hatchback,Manual,2,Hyundai,Hyundai Santro Xing,2009,2.2,Third Party insurance,30000,13.45,5,Others,Bangalore
Petrol,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,41.45,Comprehensive,33000,15.0,5,White,Bangalore
Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,8.61,Third Party,87667,15.1,7,Black,Bangalore
Diesel,Sedan,Automatic,2,Audi,Audi A4,2016,17.85,Third Party insurance,40000,17.11,5,Others,Bangalore
Diesel,SUV,Manual,2,Mahindra,Mahindra XUV500,2014,8.03,Comprehensive,79012,15.1,7,Silver,Bangalore
Diesel,SUV,Manual,1,Jeep,Jeep Compass,2021,25.65,Comprehensive,31344,17.1,5,Black,Bangalore
Petrol,Sedan,Manual,1,Hyundai,Hyundai Xcent,2018,6.74,Third Party insurance,50000,20.14,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2015,3.49,Comprehensive,12434,20.51,5,Brown,Bangalore
Petrol,MUV,Manual,2,Maruti,Maruti Ertiga,2019,10.5,Third Party insurance,60000,19.34,7,Others,Bangalore
Diesel,Sedan,Automatic,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,44.25,Comprehensive,12000,12.6,5,White,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Wagon R,2015,4.06,Comprehensive,40987,20.51,5,White,Bangalore
Petrol,Sedan,Automatic,1,BMW,BMW 5 Series,2020,49.65,Zero Dep,18157,15.56,5,Blue,Bangalore
Diesel,SUV,Manual,3,Toyota,Toyota Fortuner,2011,11.0,Third Party insurance,120000,11.5,7,Others,Bangalore
Diesel,SUV,Automatic,2,Renault,Renault Duster,2020,11.0,Third Party insurance,40000,19.87,5,Others,Bangalore
